ID;N_VICTIMAS;FECHA;AAAA;MM;DD;HORA;TIPO_DE_CALLE;Calle;Altura;Cruce;cruce_r;Dirección Normalizada;COMUNA;longitud;latitud;PARTICIPANTES;VICTIMA;ACUSADO
2021-0039;1;2021-05-15;2021;5;15;12:09:00;AVENIDA;OLIDEN;;ALBERDI, JUAN BAUTISTA AV.;True;OLIDEN y ALBERDI, JUAN BAUTISTA AV.;9;-58.50407099;-34.65303372;BICICLETA-AUTO;BICICLETA;AUTO
2021-0040;1;2021-05-20;2021;5;20;05:50:00;GRAL PAZ;PAZ, GRAL. AV.;;DEL LIBERTADOR AV.;True;PAZ, GRAL. AV. y DEL LIBERTADOR AV.;13;-58.46743471;-34.53476874;MOTO-AUTO;MOTO;AUTO
2021-0041;1;2021-05-20;2021;5;20;08:30:00;AVENIDA;DEL LIBERTADOR AV.;;CASARES AV.;True;DEL LIBERTADOR AV. y CASARES AV.;14;-58.40986646;-34.5772806;PEATON-PASAJEROS;PEATON;PASAJEROS
2021-0042;1;2021-05-21;2021;5;21;05:00:00;AVENIDA;RIVADAVIA AV.;10900.0;;False;RIVADAVIA AV. 10900;9;-58.51739138;-34.63931792;PEATON-PASAJEROS;PEATON;PASAJEROS
2021-0043;1;2021-05-22;2021;5;22;18:26:00;AVENIDA;ALBERDI, JUAN BAUTISTA AV.;;PILAR;True;ALBERDI, JUAN BAUTISTA AV. y PILAR;9;-58.50719962;-34.65556223;PEATON-AUTO;PEATON;AUTO
2021-0044;1;2021-05-25;2021;5;25;02:00:00;AVENIDA;PERON, EVA AV.;;ACOSTA, MARIANO;True;PERON, EVA AV. y ACOSTA, MARIANO;9;-58.46712311;-34.64600222;MOTO-OBJETO FIJO;MOTO;OBJETO FIJO
2021-0045;1;2021-05-26;2021;5;26;17:24:00;AUTOPISTA;AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI;;;False;AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y SUAREZ AV.;4;-58.37709334;-34.64035082;MULTIPLE;MOTO;MULTIPLE
2021-0046;1;2021-05-31;2021;5;31;02:00:00;AVENIDA;ELCANO AV.;;GUZMAN AV.;True;ELCANO AV. y GUZMAN AV.;15;-58.46033141;-34.58569883;AUTO-OBJETO FIJO;AUTO;OBJETO FIJO
2021-0047;1;2021-06-02;2021;6;2;16:00:00;AVENIDA;VEDIA, AGUSTIN DE;;RABANAL, FRANCISCO, INTENDENTE AV.;True;VEDIA, AGUSTIN DE y RABANAL, FRANCISCO, INTENDENTE AV.;4;-58.42190745;-34.65633192;MOTO-AUTO;MOTO;AUTO
2021-0048;1;2021-06-03;2021;6;3;09:58:00;AVENIDA;CAPDEVILA;;CONGRESO AV.;True;CAPDEVILA y CONGRESO AV.;12;-58.49026573;-34.5698141;BICICLETA-AUTO;BICICLETA;AUTO
2021-0049;1;2021-06-03;2021;6;3;20:30:00;AVENIDA;FERNANDEZ DE LA CRUZ, F., GRAL. AV.;4000.0;;False;FERNANDEZ DE LA CRUZ, F., GRAL. AV. 4000;8;-58.45410344;-34.66902702;AUTO-AUTO;AUTO;AUTO
2021-0050;1;2021-06-10;2021;6;10;13:30:00;AVENIDA;DEL LIBERTADOR AV.;5958.0;;False;DEL LIBERTADOR AV. 5958;13;-58.44751621;-34.55719892;MOTO-PASAJEROS;MOTO;PASAJEROS
2021-0051;1;2021-06-15;2021;6;15;19:20:00;AVENIDA;27 DE FEBRERO AV.;;EREZCANO AV.;True;27 DE FEBRERO AV. y EREZCANO AV.;4;-58.42040352;-34.66005171;PEATON-CARGAS;PEATON;CARGAS
2021-0052;1;2021-06-20;2021;6;20;05:40:00;GRAL PAZ;PAZ, GRAL. AV.;14723.0;;False;PAZ, GRAL. AV. 14723;8;-58.49530249;-34.68010798;MOTO-OBJETO FIJO;MOTO;OBJETO FIJO
2021-0053;1;2021-06-20;2021;6;20;12:00:00;AVENIDA;CORRIENTES AV.;5783.0;;False;CORRIENTES AV. 5783;15;-58.44399875;-34.5947736;PEATON-BICICLETA;PEATON;BICICLETA
2021-0054;1;2021-06-22;2021;6;22;14:44:00;CALLE;TABARE;;EREZCANO;True;TABARE y EREZCANO;4;-58.42759813;-34.65463857;MOTO-CARGAS;MOTO;CARGAS
2021-0055;1;2021-06-29;2021;6;29;12:20:00;AVENIDA;CORRIENTES AV.;;PUEYRREDON AV.;True;CORRIENTES AV. y PUEYRREDON AV.;3;-58.40547222;-34.60456293;MOTO-CARGAS;MOTO;CARGAS
2021-0056;1;2021-07-09;2021;7;9;23:25:00;AVENIDA;CORRALES;;MORENO, PERITO AV.;True;CORRALES y MORENO, PERITO AV.;4;-58.42473018;-34.6500828;BICICLETA-AUTO;BICICLETA;AUTO
2021-0057;1;2021-07-10;2021;7;10;23:30:00;AUTOPISTA;AUTOPISTA ARTURO ILLIA;;;False;AUTOPISTA  ARTURO ILLIA (CABINA DE PEAJE);2;-58.39257023;-34.57563957;AUTO-OBJETO FIJO;AUTO;OBJETO FIJO
2021-0058;1;2021-07-21;2021;7;21;00:40:00;GRAL PAZ;PAZ, GRAL. AV.;;VEDIA;True;PAZ, GRAL. AV. y VEDIA;12;-58.48941042;-34.54596153;PEATON-AUTO;PEATON;AUTO
2021-0059;1;2021-07-22;2021;7;22;01:20:00;AVENIDA;GARAY, JUAN DE AV.;2269.0;;False;GARAY, JUAN DE AV. 2269;3;-58.3964074;-34.62783085;AUTO-OBJETO FIJO;AUTO;OBJETO FIJO
2021-0060;1;2021-07-22;2021;7;22;12:30:00;AVENIDA;SALGUERO, JERONIMO;;RIVADAVIA AV.;True;SALGUERO, JERONIMO y RIVADAVIA AV.;5;-58.41971993;-34.6111224;PEATON-PASAJEROS;PEATON;PASAJEROS
2021-0061;1;2021-07-24;2021;7;24;09:15:00;AVENIDA;MORENO, PERITO AV.;;ALCORTA, AMANCIO AV.;True;MORENO, PERITO AV. y ALCORTA, AMANCIO AV.;4;-58.40544588;-34.65012801;PEATON-CARGAS;PEATON;CARGAS
2021-0062;1;2021-07-27;2021;7;27;07:16:00;AVENIDA;LA PLATA AV.;2723.0;;False;LA PLATA AV. 2723;4;-58.42003882;-34.64645957;AUTO-CARGAS;AUTO;CARGAS
2021-0063;1;2021-08-02;2021;8;2;04:40:00;AVENIDA;ALBERDI, JUAN BAUTISTA AV.;2906.0;;False;ALBERDI, JUAN BAUTISTA AV. 2906;7;-58.46851293;-34.63348678;AUTO-AUTO;AUTO;AUTO
2021-0064;1;2021-08-02;2021;8;2;20:00:00;GRAL PAZ;PAZ, GRAL. AV.;;TONELERO;True;PAZ, GRAL. AV. y TONELERO;9;-58.52931141;-34.65422917;PEATON-CARGAS;PEATON;CARGAS
2021-0065;1;2021-08-06;2021;8;6;08:30:00;AVENIDA;SAN JUAN AV.;;LA PLATA AV.;True;SAN JUAN AV. y LA PLATA AV.;6;-58.42675754;-34.6269973;PEATON-PASAJEROS;PEATON;PASAJEROS
2021-0066;1;2021-08-06;2021;8;6;20:00:00;AVENIDA;LOPE DE VEGA AV.;;PAZ, GRAL. AV.;True;LOPE DE VEGA AV. y PAZ, GRAL. AV.;11;-58.52933723;-34.61098186;PEATON-PASAJEROS;PEATON;PASAJEROS
2021-0067;1;2021-08-08;2021;8;8;09:29:00;AUTOPISTA;AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI;;;False;AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y BRASIL;1;-58.37910943;-34.62764718;MOTO-OBJETO FIJO;MOTO;OBJETO FIJO
2021-0068;1;2021-08-15;2021;8;15;06:10:00;AVENIDA;BEIRO, FRANCISCO AV.;5071.0;;False;BEIRO, FRANCISCO AV. 5071;11;-58.52161176;-34.61164474;MOTO-OBJETO FIJO;MOTO;OBJETO FIJO
2021-0069;1;2021-08-20;2021;8;20;17:15:00;AVENIDA;SANTA FE AV.;3428.0;;False;SANTA FE AV. 3428;14;-58.41354692;-34.5869768;PEATON-AUTO;PEATON;AUTO
2021-0070;1;2021-08-28;2021;8;28;08:30:00;AVENIDA;CHILAVERT, MARTINIANO, CORONEL;;VARELA AV.;True;CHILAVERT, MARTINIANO, CORONEL y VARELA AV.;8;-58.43960781;-34.65470804;MOTO-CARGAS;MOTO;CARGAS
2021-0071;1;2021-08-31;2021;8;31;16:00:00;CALLE;SAN LUIS;2730.0;;False;SAN LUIS 2730;3;-58.4045461;-34.60003693;PEATON-MOTO;PEATON;MOTO
2021-0072;1;2021-09-01;2021;9;1;19:10:00;AVENIDA;CALLAO AV.;;PARAGUAY;True;CALLAO AV. y PARAGUAY;2;-58.39303911;-34.59871111;PEATON-AUTO;PEATON;AUTO
2021-0073;1;2021-09-18;2021;9;18;12:20:00;AVENIDA;DEL LIBERTADOR AV.;;AGOTE, LUIS DR.;True;DEL LIBERTADOR AV. y AGOTE, LUIS DR.;2;-58.39391034;-34.58405348;BICICLETA-AUTO;BICICLETA;AUTO
2021-0074;1;2021-09-20;2021;9;20;15:00:00;GRAL PAZ;PAZ, GRAL. AV.;;BALBIN, RICARDO, DR. AV.;True;PAZ, GRAL. AV. y BALBIN, RICARDO, DR. AV.;12;-58.5007381;-34.5497951;MULTIPLE;MOTO;MULTIPLE
2021-0075;1;2021-09-21;2021;9;21;14:30:00;CALLE;SALTA;;BRASIL;True;SALTA y BRASIL;1;-58.38281301;-34.62786038;PEATON-CARGAS;PEATON;CARGAS
2021-0076;1;2021-10-16;2021;10;16;06:15:00;AVENIDA;MORENO, PERITO AV.;2152.0;;False;MORENO, PERITO AV. 2152;7;-58.43980799;-34.65094083;MOTO-OBJETO FIJO;MOTO;OBJETO FIJO
2021-0077;1;2021-10-18;2021;10;18;07:20:00;AVENIDA;DIRECTORIO AV.;1169.0;;False;DIRECTORIO AV. 1169;6;-58.44402387;-34.62933109;MOTO-CARGAS;MOTO;CARGAS
2021-0078;1;2021-10-23;2021;10;23;06:35:00;AVENIDA;INDEPENDENCIA AV.;;LA PLATA AV.;True;INDEPENDENCIA AV. y LA PLATA AV.;6;-58.42779702;-34.62207347;MOTO-PASAJEROS;MOTO;PASAJEROS
2021-0079;1;2021-10-25;2021;10;25;03:30:00;CALLE;TUCUMAN;3112.0;;False;TUCUMAN 3112;3;-58.40944147;-34.60097942;PEATON-AUTO;PEATON;AUTO
2021-0080;1;2021-10-28;2021;10;28;16:16:00;AVENIDA;ARENALES;;9 DE JULIO AV.;True;ARENALES y 9 DE JULIO AV.;1;-58.38277479;-34.5943016;MOTO-AUTO;MOTO;AUTO
2021-0081;1;2021-11-02;2021;11;2;13:35:00;AUTOPISTA;AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI;;;False;AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y BRANDSEN;4;-58.37627355;-34.63800916;MOTO-CARGAS;MOTO;CARGAS
2021-0082;1;2021-11-06;2021;11;6;04:39:00;AUTOPISTA;AUTOPISTA 25 DE MAYO;;;False;AUTOPISTA 25 DE MAYO y PASCO;3;-58.39591856;-34.62453459;MOTO-AUTO;MOTO;AUTO
2021-0083;1;2021-11-09;2021;11;9;00:35:00;AVENIDA;CABILDO AV.;;OLAZABAL;True;CABILDO AV. y OLAZABAL;13;-58.45829717;-34.56015762;MOTO-AUTO;MOTO;AUTO
2021-0084;1;2021-11-11;2021;11;11;03:00:00;AVENIDA;TAPALQUE;;BRUIX AV.;True;TAPALQUE y BRUIX AV.;9;-58.49142611;-34.64584795;AUTO-OBJETO FIJO;AUTO;OBJETO FIJO
2021-0085;1;2021-11-20;2021;11;20;18:30:00;GRAL PAZ;PAZ, GRAL. AV.;;EZEIZA;True;PAZ, GRAL. AV. y EZEIZA;12;-58.51271409;-34.57786555;MOTO-OBJETO FIJO;MOTO;OBJETO FIJO
2021-0086;1;2021-11-25;2021;11;25;10:10:00;AVENIDA;RIVADAVIA AV.;;PUAN;True;RIVADAVIA AV. y PUAN;6;-58.44864864;-34.62352826;PEATON-PASAJEROS;PEATON;PASAJEROS
2021-0087;1;2021-11-27;2021;11;27;11:22:00;CALLE;ESMERALDA;1359.0;;False;ESMERALDA 1359;1;-58.37795815;-34.59167894;PEATON-BICICLETA;PEATON;BICICLETA
2021-0088;1;2021-12-01;2021;12;1;15:40:00;CALLE;MONROE;;3 DE FEBRERO;True;MONROE y 3 DE FEBRERO;13;-58.45531707;-34.55555257;MOTO-AUTO;MOTO;AUTO
2021-0089;1;2021-12-02;2021;12;2;01:10:00;AVENIDA;GAONA AV.;3655.0;;False;GAONA AV. 3655;11;-58.47633683;-34.62140594;MOTO-AUTO;MOTO;AUTO
2021-0090;1;2021-12-10;2021;12;10;11:45:00;AVENIDA;9 DE JULIO AV.;;LAVALLE;True;9 DE JULIO AV. y LAVALLE;1;-58.38188582;-34.60256036;PEATON-PASAJEROS;PEATON;PASAJEROS
2021-0091;1;2021-12-11;2021;12;11;23:00:00;CALLE;BAIGORRIA;;HUGO, VICTOR;True;BAIGORRIA y HUGO, VICTOR;10;-58.51989389;-34.62284918;MOTO-AUTO;MOTO;AUTO
2021-0092;1;2021-12-12;2021;12;12;06:20:00;AVENIDA;RIVADAVIA AV.;;PUEYRREDON AV.;True;RIVADAVIA AV. y PUEYRREDON AV.;3;-58.4059686;-34.61011987;PEATON-AUTO;PEATON;AUTO
2021-0093;1;2021-12-13;2021;12;13;17:10:00;AVENIDA;RIESTRA AV.;;MOM;True;RIESTRA AV. y MOM;7;-58.43353773;-34.64561636;MOTO-AUTO;MOTO;AUTO
2021-0094;1;2021-12-20;2021;12;20;01:10:00;AUTOPISTA;DELLEPIANE, LUIS, TTE. GRAL.;;LACARRA AV.;True;DELLEPIANE, LUIS, TTE. GRAL. y LACARRA AV.;9;-58.46739825;-34.65117757;MOTO-AUTO;MOTO;AUTO
2021-0095;1;2021-12-30;2021;12;30;00:43:00;AVENIDA;GAONA AV.;;TERRADA;True;GAONA AV. y TERRADA;11;-58.47293407;-34.61984745;MOTO-CARGAS;MOTO;CARGAS
2021-0096;1;2021-12-15;2021;12;15;10:30:00;AVENIDA;PERON, EVA AV.;4071.0;;False;PERON, EVA AV. 4071;9;-58.47066794;-34.65021673;AUTO-CARGAS;AUTO;CARGAS
2021-0097;1;2021-11-18;2021;11;18;06:10:00;CALLE;PADRE CARLOS MUJICA;709.0;;False;PADRE CARLOS MUGICA 709;1;-58.37976155;-34.58679619;BICICLETA-AUTO;BICICLETA;AUTO
